ID,GENERO,EDAD,EDU,SENSA.SUELDO,DIARIO,TV,ROBO5.A,SEGURO.NOCHE,RELIGION,MINORIA,INM.RICOS,INM.POBRES,D.ECO,CRIMEN,INM.LARGO,TENSION
866,1,22,3,2,0,1,2,2,0,2,1,1,4,4,3,4
868,1,19,2,2,0,0,2,2,1,2,3,3,4,2,2,4
869,2,34,3,2,0,1,2,2,3,2,4,3,3,3,5,2
875,1,44,1,1,0,0,2,4,4,2,3,3,4,2,7,3
877,1,40,3,2,1,1,2,2,5,2,2,2,2,4,4,2
886,2,67,1,2,2,2,2,3,6,2,3,3,2,4,6,4
887,1,54,5,1,1,0,2,1,5,2,2,2,4,4,7,4
907,1,50,2,2,1,5,2,2,2,2,2,2,2,2,4,3
908,2,49,2,3,1,1,2,2,2,2,3,3,1,4,4,2
910,1,63,3,1,3,7,2,1,5,2,3,3,4,4,7,4
925,2,37,3,2,1,3,2,3,3,2,2,2,2,3,4,2
926,2,53,2,3,1,4,2,2,2,2,3,3,2,3,4,2
927,1,23,3,2,2,2,2,2,0,2,1,1,2,3,3,3
928,2,19,3,2,1,4,2,2,2,2,2,2,2,2,4,3
938,2,48,2,2,0,0,1,2,3,2,3,4,2,3,5,2
939,1,30,2,2,0,2,1,3,2,2,1,1,3,3,4,5
941,1,57,1,2,0,2,2,2,7,2,1,1,4,2,3,4
942,1,28,3,2,1,1,2,2,4,2,2,2,3,3,3,3
952,2,49,5,1,1,3,2,2,3,2,3,3,3,2,7,2
957,2,70,5,1,4,2,1,2,8,2,3,3,2,2,3,2
958,2,35,5,1,2,2,2,2,6,2,3,3,2,2,3,2
963,2,47,1,1,2,2,2,1,5,2,2,3,3,2,4,2
974,1,41,4,1,2,1,2,1,8,2,3,3,2,3,5,2
976,1,82,3,2,4,1,2,2,8,2,3,3,2,3,5,2
978,1,18,3,1,1,1,2,2,8,2,3,3,2,2,5,3
979,2,32,2,3,2,2,2,1,8,2,3,3,2,2,5,2
993,2,38,4,2,0,1,2,2,3,2,3,3,2,2,4,2
994,1,67,1,2,1,1,2,2,9,2,3,3,4,2,2,2
996,1,68,1,2,1,2,2,2,8,2,3,3,2,2,2,2
998,1,54,2,1,1,1,2,2,7,2,3,3,3,3,5,2
1024,1,43,2,1,1,4,2,1,8,2,3,2,4,4,3,2
1025,1,39,2,2,1,0,2,1,0,2,1,2,2,2,2,4
1027,1,60,5,2,1,1,2,1,8,2,3,3,4,4,8,4
1028,1,40,5,2,1,1,2,2,4,2,2,2,2,3,7,4
1032,2,38,5,2,1,2,1,3,3,2,3,2,2,4,2,4
1033,1,43,5,1,1,2,2,2,3,2,1,1,4,4,3,4
1035,2,60,5,1,2,4,1,2,5,2,1,1,2,4,0,4
1041,1,75,1,2,0,2,2,2,3,2,2,2,2,3,4,4
1060,1,19,3,2,1,2,2,2,2,2,2,2,2,3,8,2
1063,1,61,5,2,1,1,1,2,4,2,2,2,2,2,7,3
1066,1,44,5,1,1,0,2,2,2,2,2,3,2,3,8,3
1067,2,73,5,1,2,4,2,3,7,2,2,3,3,3,4,2
1106,2,60,2,2,1,2,2,2,9,2,1,1,4,4,2,5
1107,2,40,5,3,1,2,1,1,8,2,1,1,5,5,1,5
1109,2,36,3,2,1,2,2,2,5,2,1,1,4,4,7,5
1116,1,25,2,3,0,0,2,3,0,2,1,1,3,4,2,4
1144,1,71,1,2,2,2,2,2,3,2,1,1,3,2,5,2
1150,1,68,1,2,1,2,2,1,6,2,1,1,4,2,5,5
1161,2,37,5,3,1,2,2,1,3,2,4,4,5,1,0,1
1177,2,38,2,1,2,2,2,2,5,2,1,1,3,2,7,3
1183,1,28,3,1,0,5,2,2,1,2,4,4,4,1,2,2
1185,1,81,5,2,1,4,2,2,8,2,2,3,3,1,8,3
1189,2,20,5,2,0,1,2,4,1,2,3,3,2,2,4,4
1194,1,71,1,3,0,3,2,1,10,2,2,3,1,1,3,1
1209,1,20,3,1,0,1,2,1,6,2,3,3,2,1,4,3
1213,1,82,1,2,1,1,2,1,1,2,1,1,4,1,2,2
1224,2,57,1,1,1,1,2,1,8,2,1,2,3,1,5,4
1237,1,56,3,1,1,3,1,3,5,2,1,1,4,3,7,4
1240,1,34,2,3,1,3,1,4,7,2,1,1,2,4,1,5
1249,1,22,3,2,1,2,1,2,6,2,2,2,3,3,7,3
1253,2,32,3,3,1,3,1,3,3,2,3,3,2,3,3,3
1258,1,19,3,1,1,1,2,1,4,2,1,1,4,4,5,4
1261,2,52,5,2,1,3,1,2,9,2,3,1,3,3,5,4
1264,1,62,5,2,1,1,2,2,7,2,3,3,2,4,7,4
1269,2,28,5,1,1,2,1,3,2,2,1,1,3,4,3,4
1280,1,42,1,1,1,1,2,1,1,2,1,3,1,1,5,4
1283,1,57,1,1,1,1,2,2,8,2,2,2,2,2,6,2
1286,1,29,2,2,0,2,1,3,6,2,3,3,4,3,5,4
1293,1,52,1,1,1,3,2,2,6,2,1,1,2,2,5,2
1316,2,25,5,2,2,2,2,2,6,2,3,3,4,3,5,4
1320,1,70,5,1,2,2,2,2,7,2,3,3,3,4,5,4
1322,2,56,1,1,2,2,2,3,9,2,2,3,3,3,5,4
1325,2,37,5,2,2,2,2,2,1,2,3,3,4,3,5,4
1326,1,38,4,1,1,3,2,2,5,2,2,3,4,3,5,3
1327,2,48,2,1,1,2,2,2,1,2,2,3,2,3,5,5
1330,1,63,5,1,1,2,2,2,7,2,2,3,4,3,5,4
1331,2,48,2,1,2,1,2,3,10,2,2,3,4,2,5,4
1335,2,46,5,2,2,1,1,2,5,2,3,3,2,4,3,4
1336,2,26,5,1,2,2,2,2,5,2,3,3,2,3,5,4
1349,1,18,3,1,2,1,2,1,5,2,4,3,2,3,5,2
1350,1,46,3,2,2,3,2,2,6,2,3,2,1,5,6,3
1352,1,26,4,1,1,1,1,1,3,2,3,3,3,3,1,3
1355,2,31,4,2,1,2,2,2,3,2,3,3,2,4,1,2
1361,2,39,2,2,0,2,2,1,7,2,4,2,2,4,9,4
1366,2,42,1,1,2,1,2,1,8,2,4,3,2,3,8,4
1371,2,53,5,2,1,2,2,3,9,2,2,3,3,3,8,4
1375,1,55,3,2,2,2,1,1,5,2,2,2,3,3,5,3
1376,2,30,5,2,1,1,2,3,6,2,3,3,4,3,5,4
1377,2,35,4,1,1,1,2,1,6,2,3,3,3,3,5,3
1378,2,57,3,2,3,3,1,1,10,2,3,3,2,4,5,4
1380,2,27,4,1,0,2,2,2,5,2,3,4,2,2,5,2
1399,1,21,4,1,1,1,2,2,4,2,1,1,2,4,7,4
1404,1,21,3,3,1,1,2,1,5,2,4,2,1,4,3,3
1411,1,85,5,1,1,3,2,2,9,2,1,1,3,3,4,3
1413,1,73,1,3,2,3,2,1,5,2,3,3,2,2,2,4
1414,1,26,2,3,1,2,2,2,6,2,2,3,1,4,1,1
1417,1,29,5,1,1,1,2,2,4,2,2,2,3,2,7,3
1420,1,25,3,3,1,2,1,1,5,2,2,3,4,2,9,2
1432,2,29,4,2,0,0,2,3,6,2,2,2,2,2,6,2
1434,2,64,2,2,0,4,2,2,5,2,3,3,2,2,6,2
1470,1,24,5,1,1,2,1,3,0,2,3,3,3,2,5,4
1479,2,67,1,2,2,3,2,2,7,2,3,3,4,1,6,4
1492,2,68,1,3,1,2,2,1,6,1,1,1,5,3,0,5
1493,1,51,5,1,2,2,2,1,1,2,1,1,5,5,3,5
1499,1,57,1,2,3,1,2,2,1,2,2,2,3,3,5,4
1505,1,44,4,2,2,1,1,2,1,2,2,2,4,4,3,5
1517,2,39,5,2,1,1,1,2,3,2,1,1,4,4,0,4
1522,2,16,2,1,1,1,1,2,3,2,2,1,5,3,5,5
1525,2,35,5,2,1,1,2,1,0,2,2,2,2,3,1,4
1534,1,43,1,3,1,2,2,4,2,2,2,2,5,3,8,5
1547,1,65,1,3,0,2,2,1,2,2,2,2,4,3,7,4
1558,2,29,5,2,2,2,1,1,5,2,3,2,3,5,7,5
1559,2,40,4,2,3,2,2,1,6,2,3,3,4,3,5,3
1594,1,68,1,2,1,1,2,2,5,2,3,3,2,3,2,2
1639,1,58,1,1,1,1,1,1,0,2,3,3,2,1,2,4
1640,1,79,1,2,2,2,2,2,5,2,3,3,3,2,3,4
1653,2,41,3,3,1,3,2,3,3,2,3,3,4,2,4,4
1655,1,52,3,2,2,2,2,2,0,2,2,2,3,3,5,4
1657,1,31,5,2,4,4,2,1,0,2,1,1,4,3,3,4
1662,1,70,5,1,1,2,2,2,8,2,3,3,4,2,5,4
1663,1,75,1,4,1,2,1,3,9,2,1,1,3,3,0,4
1665,2,29,5,2,1,2,2,2,2,2,3,3,3,2,3,4
1666,1,32,3,2,2,3,2,2,3,2,2,3,3,2,3,4
1671,2,39,5,1,1,1,2,1,1,2,2,2,2,1,5,5
1683,1,64,1,2,1,2,2,2,7,2,2,3,2,2,2,3
1705,2,15,3,2,1,6,1,4,5,2,1,1,2,4,5,2
1713,2,35,2,2,2,4,1,3,5,2,2,3,3,4,3,3
1714,2,43,5,1,1,2,2,2,7,2,1,2,2,4,7,3
1726,2,69,1,2,1,3,1,3,6,2,3,3,2,1,1,2
1729,1,67,1,1,1,6,2,2,0,2,3,3,4,1,7,3
1730,1,20,3,1,1,6,1,3,7,1,1,2,3,3,6,4
1753,2,45,3,2,1,2,2,2,0,2,1,1,4,3,5,4
1765,1,18,2,1,1,2,1,3,0,2,2,2,3,3,2,4
1778,1,25,4,2,1,2,1,3,3,2,3,3,3,2,2,3
1780,2,23,5,2,3,2,2,2,0,2,1,1,5,4,7,5
1781,1,42,3,2,1,2,2,2,2,2,1,1,4,4,8,5
1783,2,42,2,2,1,2,1,3,7,2,3,3,1,2,5,3
1784,2,45,2,1,1,1,2,3,8,2,2,2,2,1,7,3
1795,2,49,2,1,1,1,2,2,6,2,3,3,2,1,5,4
1797,2,57,1,1,1,2,1,3,6,2,3,3,4,2,7,4
1799,1,81,1,2,1,4,2,2,2,2,2,2,4,2,6,4
1808,1,45,5,1,1,1,2,4,8,2,3,3,2,1,8,4
1809,2,21,2,2,1,0,2,4,2,2,2,2,5,3,9,5
1815,1,32,3,1,1,3,1,3,2,2,3,3,4,2,6,4
1817,2,23,3,3,1,3,1,2,5,1,2,2,2,3,8,4
1821,2,79,1,1,3,2,2,2,8,2,3,3,4,1,6,4
1827,1,41,2,2,1,1,2,2,3,2,3,3,4,2,7,4
1838,1,44,5,2,1,2,2,3,7,2,2,3,3,1,9,5
1839,1,70,1,2,1,1,2,4,7,2,2,2,3,1,9,5
1840,1,50,1,1,1,2,2,3,5,2,3,3,4,3,5,5
1843,1,42,2,2,0,1,1,2,5,2,4,4,2,1,8,3
1845,2,37,3,3,1,3,1,3,3,2,2,2,2,2,5,3
1847,1,24,5,1,1,1,1,1,1,2,2,2,4,4,2,4
1851,1,39,3,2,1,2,2,3,2,2,2,2,2,2,3,4
1852,1,32,2,2,3,2,2,3,2,2,1,1,2,2,0,2
1854,2,61,1,1,2,2,2,3,7,2,3,2,2,1,3,2
1856,1,65,1,2,1,3,2,3,4,2,2,2,2,3,7,4
1859,2,42,3,1,2,3,1,2,7,2,3,1,3,2,3,4
1861,2,28,3,2,1,2,2,2,9,2,4,1,4,2,5,4
1883,1,22,5,2,0,4,2,1,2,2,3,3,5,3,6,5
1887,2,22,5,1,2,2,2,2,0,2,1,1,5,4,7,3
1892,2,36,4,2,1,1,2,3,5,2,1,1,3,3,7,5
1893,2,80,1,2,1,3,2,4,6,2,3,3,1,1,8,2
1896,2,43,4,2,1,2,2,4,7,2,3,3,2,1,1,5
1898,1,78,3,4,3,4,1,4,4,2,1,2,3,1,5,5
1900,1,60,5,1,2,1,2,2,0,2,2,2,2,2,8,4
1909,2,32,5,2,1,2,1,3,5,2,2,2,2,1,4,5
1911,2,72,3,1,4,3,2,2,7,2,2,2,5,5,8,3
1916,2,56,3,1,2,7,2,3,3,2,2,1,2,1,8,5
1918,1,23,3,2,1,2,2,1,0,2,2,2,3,4,6,5
1926,2,34,5,2,2,2,2,1,9,2,1,1,4,4,1,4
1927,2,37,2,3,2,6,2,3,5,2,3,3,2,2,4,4
1942,1,53,5,1,2,2,2,2,1,1,1,1,4,5,7,5
1955,2,59,5,4,2,2,2,4,4,2,3,3,1,1,2,4
1962,1,36,5,1,1,2,2,2,7,2,3,3,2,2,3,1
1970,1,30,4,2,1,2,2,2,7,2,3,3,2,2,4,1
1985,2,73,3,2,3,3,1,4,0,2,4,4,4,1,8,1
1991,1,70,5,2,1,2,1,3,6,2,2,2,4,1,9,4
1993,1,29,5,2,1,1,2,1,0,2,1,1,2,3,9,5
1995,1,34,3,2,0,2,1,2,4,2,3,3,3,3,7,3
1998,2,39,4,2,2,2,2,3,3,2,3,3,2,1,2,3
2002,2,65,3,1,1,2,1,3,6,2,3,3,4,3,7,3
2009,2,33,5,1,2,1,1,3,3,2,3,3,3,1,7,3
2010,1,69,2,3,1,2,1,3,2,2,3,3,3,3,6,3
2042,1,33,3,2,1,5,2,2,0,2,1,1,5,4,8,5
2055,2,20,3,1,2,1,1,3,0,2,2,1,4,4,3,4
2056,1,59,1,2,2,2,2,3,6,2,3,3,3,1,4,1
2057,2,34,1,3,0,1,1,3,4,2,4,1,2,2,2,2
2060,1,48,1,2,2,3,2,3,0,2,3,3,2,3,9,2
2063,1,57,1,3,1,6,2,2,5,2,2,3,2,2,1,2
2064,1,29,1,4,1,1,2,3,3,1,3,3,2,4,10,2
2066,1,60,1,2,1,2,2,2,5,2,4,4,2,2,7,2
2067,1,71,1,3,2,4,2,2,6,2,3,2,2,2,7,4
2075,2,36,5,1,1,2,2,2,6,2,3,3,1,2,0,2
2083,1,20,2,2,0,2,1,2,5,2,2,2,2,2,8,2
2090,2,44,1,3,1,3,2,4,0,2,3,1,2,4,0,4
2101,2,65,2,3,5,2,2,3,6,2,3,3,1,1,8,3
2112,1,68,2,2,3,5,2,4,4,2,2,2,5,1,8,5
2122,1,42,3,3,1,2,2,3,0,2,1,1,1,1,8,3
2131,1,23,3,2,1,1,1,3,0,2,2,2,2,2,5,4
2132,1,26,5,2,2,2,1,2,0,2,2,3,3,2,5,3
2134,1,52,3,1,1,2,1,3,4,2,3,3,4,4,5,4
2138,2,67,3,1,1,3,2,2,0,2,2,2,2,2,7,3
2149,1,42,5,1,3,2,2,2,7,2,3,2,4,2,5,2
2163,2,27,3,1,1,3,2,4,0,2,1,1,1,1,8,5
2169,2,59,1,3,2,1,1,2,7,2,2,2,1,1,9,3
2175,2,40,5,1,1,3,1,1,0,2,1,1,3,2,9,5
2188,2,79,1,3,2,2,2,4,8,2,1,3,1,1,8,2
2191,2,24,4,2,1,2,2,2,5,2,1,1,4,1,7,5
2200,1,83,1,2,1,3,2,2,5,2,3,3,4,2,6,4
2220,1,37,2,1,2,1,2,1,3,2,3,3,2,1,9,3
2225,1,24,2,1,1,2,2,2,3,2,3,3,2,4,8,3
2229,1,42,2,2,1,1,2,2,5,2,3,3,2,3,7,4
2230,2,45,1,2,2,4,1,3,3,2,3,3,2,2,7,4
2232,2,61,1,2,2,4,1,3,4,2,4,3,2,2,3,2
2238,1,48,3,2,1,3,1,3,1,2,1,1,2,5,7,4
2240,1,30,4,1,1,0,1,2,2,2,3,3,5,1,3,4
2244,2,27,3,1,0,0,1,2,1,2,3,3,3,2,3,5
2245,1,75,1,2,7,4,2,2,4,2,2,2,3,1,7,4
2247,2,20,5,1,1,1,2,2,3,2,2,2,4,2,7,5
2250,1,31,5,1,1,2,1,2,4,2,3,3,4,1,7,4
2252,1,35,5,1,1,2,2,2,5,2,2,2,4,2,7,5
2258,2,17,3,1,1,2,1,2,2,1,2,2,4,4,8,5
2265,1,46,4,2,3,2,1,3,2,2,3,3,4,2,7,4
2267,2,42,3,2,1,2,2,2,4,2,3,3,4,3,6,4
2274,1,48,5,1,3,2,1,3,3,2,3,3,4,2,6,5
2289,2,30,3,1,0,3,1,2,2,2,3,3,3,1,5,2
